Student_ID,Attendance_Percentage,Mid_Term_Marks,Assignment_Score,Class_Participation,Activity_Participation,Aggregate_Academic_Score,Performance_Label
S0001,90.0,80.0,95.0,5.0,No,81.0,Good
S0010,90.0,80.0,95.0,3.0,Yes,61.0,At-Risk
S0011,80.0,85.0,95.0,10.0,No,61.0,At-Risk
S0012,90.0,80.0,95.0,8.0,Yes,41.0,Good
S0013,90.0,78.0,95.0,3.0,Yes,39.0,Good
S0014,90.0,80.0,95.0,8.0,Yes,80.0,Average
S0017,80.0,80.0,95.0,3.0,No,80.0,At-Risk
S0018,90.0,62.0,95.0,3.0,Yes,49.0,Good
S0020,80.0,81.0,95.0,8.0,Yes,61.0,Good
S0022,90.0,35.0,95.0,1.0,Yes,80.0,Average
S0023,80.0,58.0,95.0,3.0,Yes,80.0,At-Risk
S0029,90.0,62.0,95.0,3.0,Yes,80.0,At-Risk
S0032,90.0,80.0,95.0,1.0,No,60.0,At-Risk
S0033,80.0,62.0,95.0,3.0,Yes,80.0,At-Risk
S0036,90.0,62.0,95.0,3.0,No,80.0,Average
S0038,90.0,62.0,95.0,3.0,Yes,92.0,Good
S0040,90.0,80.0,95.0,6.0,Yes,68.0,Good
S0045,80.0,62.0,95.0,3.0,Yes,42.0,Good
S0048,80.0,62.0,95.0,3.0,No,80.0,Average
S0050,90.0,62.0,95.0,3.0,No,94.0,At-Risk
S0051,90.0,62.0,95.0,2.0,Yes,82.0,Good
S0055,80.0,51.0,95.0,10.0,Yes,80.0,Good
S0058,90.0,66.0,95.0,9.0,No,80.0,Average
S0060,90.0,62.0,95.0,9.0,Yes,61.0,At-Risk
S0061,90.0,62.0,95.0,4.0,No,61.0,Good
S0062,90.0,80.0,95.0,3.0,No,61.0,Good
S0065,90.0,80.0,95.0,3.0,Yes,80.0,At-Risk
S0067,90.0,80.0,95.0,3.0,Yes,80.0,Average
S0071,90.0,62.0,95.0,3.0,Yes,65.0,At-Risk
S0072,90.0,62.0,95.0,3.0,No,65.0,Average
S0075,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0080,90.0,80.0,95.0,3.0,Yes,80.0,At-Risk
S0081,90.0,80.0,95.0,3.0,Yes,61.0,Good
S0082,90.0,80.0,95.0,2.0,Yes,80.0,Good
S0086,90.0,80.0,95.0,3.0,Yes,80.0,Good
S0088,80.0,62.0,95.0,4.0,Yes,80.0,Average
S0090,80.0,80.0,95.0,10.0,Yes,80.0,At-Risk
S0092,90.0,62.0,95.0,3.0,Yes,34.0,At-Risk
S0098,90.0,37.0,95.0,3.0,No,32.5,Average
S0099,80.0,62.0,95.0,3.0,No,80.0,Good
S0105,90.0,91.0,95.0,9.0,Yes,81.0,Good
S0107,90.0,80.0,95.0,3.0,Yes,80.0,Average
S0110,80.0,62.0,95.0,7.0,Yes,80.0,Average
S0111,90.0,80.0,95.0,3.0,Yes,80.0,At-Risk
S0117,90.0,62.0,95.0,1.0,No,61.0,At-Risk
S0118,90.0,53.0,95.0,1.0,Yes,61.0,At-Risk
S0119,90.0,62.0,95.0,2.0,Yes,80.0,Good
S0120,90.0,62.0,95.0,5.0,Yes,32.5,Good
S0121,90.0,62.0,95.0,3.0,No,88.0,Good
S0124,80.0,80.0,95.0,3.0,Yes,51.0,Good
S0126,90.0,62.0,95.0,3.0,Yes,61.0,Good
