Training_ID,Student_ID,Course_Name,Training_Type,Training_Attendance,Training_Score,Feedback_Rating,Pre_Training_Score,Post_Training_Score,Training_Impact,Improvement
T00001,S0001,Leadership,Soft Skills,No,80.0,3.0,80.0,32.0,no,-48.0
T00002,S0002,Communication Skills,Soft Skills,no,82.0,3.0,80.0,80.0,no,0.0
T00003,S0003,Data Science,Soft Skills,No,80.0,3.0,80.0,97.0,no,17.0
T00004,S0004,DevOps,Technical,no,80.0,3.0,80.0,80.0,no,0.0
T00005,S0005,IoT Basics,Soft Skills,Yes,80.0,3.0,80.0,73.0,no,-7.0
T00006,S0006,AI Fundamentals,no,Yes,80.0,6.0,10.0,80.0,Improvement,70.0
T00007,S0007,Leadership,no,Yes,80.0,3.0,80.0,80.0,No Improvement,0.0
T00008,S0008,Communication Skills,no,no,80.0,6.0,80.0,80.0,no,0.0
T00009,S0009,IoT Basics,Soft Skills,Yes,80.0,4.0,80.0,80.0,no,0.0
T00010,S0010,Web Development,Technical,Yes,80.0,5.0,80.0,80.0,no,0.0
T00011,S0011,Cloud Computing,Technical,Yes,80.0,3.0,73.0,80.0,no,7.0
T00012,S0012,IoT Basics,Technical,No,57.0,3.0,89.0,80.0,no,-9.0
T00013,S0013,no,Technical,Yes,80.0,3.0,80.0,80.0,Improvement,0.0
T00014,S0014,Cybersecurity,Technical,No,80.0,3.0,80.0,80.0,No Improvement,0.0
T00015,S0015,Web Development,no,Yes,80.0,6.0,80.0,39.0,Improvement,-41.0
T00016,S0016,Web Development,Soft Skills,No,80.0,6.0,42.0,80.0,no,38.0
T00017,S0017,AI Fundamentals,Technical,Yes,66.0,3.0,80.0,28.0,no,-52.0
T00018,S0018,AI Fundamentals,Soft Skills,no,80.0,1.0,46.0,80.0,no,34.0
T00019,S0019,no,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
T00020,S0020,Cloud Computing,Technical,Yes,80.0,3.0,91.0,75.0,No Improvement,-16.0
T00021,S0021,no,Technical,no,80.0,6.0,80.0,80.0,Improvement,0.0
T00022,S0022,DevOps,Technical,Yes,80.0,6.0,80.0,80.0,No Improvement,0.0
T00023,S0023,IoT Basics,Technical,Yes,80.0,3.0,7.0,80.0,no,73.0
T00024,S0024,Data Science,no,No,95.0,6.0,80.0,80.0,Improvement,0.0
T00025,S0025,Cybersecurity,Technical,Yes,39.0,3.0,98.0,80.0,Improvement,-18.0
T00026,S0026,Web Development,Technical,no,80.0,6.0,80.0,80.0,no,0.0
T00027,S0027,DevOps,Soft Skills,Yes,80.0,6.0,80.0,90.0,Improvement,10.0
T00028,S0028,Negotiation,Technical,No,19.0,3.0,80.0,12.0,No Improvement,-68.0
T00029,S0029,Cloud Computing,Soft Skills,No,80.0,3.0,80.0,80.0,Improvement,0.0
T00030,S0030,AI Fundamentals,no,Yes,80.0,6.0,80.0,80.0,Improvement,0.0
T00031,S0031,no,Technical,No,80.0,4.0,72.0,80.0,Improvement,8.0
T00032,S0032,Data Science,Technical,Yes,38.0,3.0,80.0,80.0,Improvement,0.0
T00033,S0033,DevOps,no,Yes,80.0,1.0,80.0,80.0,no,0.0
T00034,S0034,Communication Skills,Soft Skills,No,80.0,6.0,80.0,7.0,Improvement,-73.0
T00035,S0035,Blockchain,Soft Skills,no,80.0,3.0,80.0,80.0,no,0.0
T00036,S0036,Cybersecurity,Technical,Yes,80.0,5.0,87.0,80.0,Improvement,-7.0
T00037,S0037,Leadership,Technical,No,80.0,6.0,80.0,80.0,no,0.0
T00038,S0038,IoT Basics,Technical,No,80.0,3.0,80.0,80.0,no,0.0
T00039,S0039,IoT Basics,Soft Skills,Yes,80.0,5.0,80.0,80.0,no,0.0
T00040,S0040,Communication Skills,Technical,Yes,80.0,3.0,80.0,80.0,no,0.0
